4392,2324,0,1
4392,2324,0,1
4392,2324,0,1
4392,2324,0,1
800,800131,1,-1
800,800130,2,-1
800,800130,1,-1
800,800103,2,-1
800,800131,0,-1
0,800130,1,-1
800,0,1,4
800131,800130,1,4
1234567,800130,1,-1
0,800130,1,-1
800130,800131,1,-1
1234567,800130,1,-1
1234567,800130,1,-1
1234567,800130,1,-1
1234567,800130,1,-1
1234567,800130,2,-1
1234567,800130,1,-1
1234567,800130,1,-1
0,800130,2,-1
800131,800,1,4
800130,800,1,4
800130,800131,1,4
800131,800,1,4
800,800130,1,4
800130,800131,1,4
800131,800,1,4
800130,800,1,4
800130,800131,2,4
800131,800,1,5
800,800130,1,5
800130,800131,2,5
800130,0,1,4
800131,0,1,4
800131,800,1,4
800130,800,1,4
800131,800,2,4
800,800130,1,4
800131,800130,1,4
800130,800131,2,5
800,0,1,6
0,800131,1,6
800131,800,2,6
800130,0,1,6
800,800130,1,6
800131,800130,1,6
0,800,2,7
800131,800,2,7
800131,0,1,7
800,800130,1,7
0,800130,1,7
800131,800130,1,7
800,0,1,8
800131,0,1,8
800131,800,2,8
800130,0,2,8
800,800130,1,8
800130,800131,1,8
800131,800130,1,2
0,800131,1,2
800130,0,1,2
800130,800131,1,3
